index,importance
latency_ms_rstd,0.1297826842707131
interference_ratio_rstd,0.10419242262999746
throughput_mbps_rstd,0.09736504311373755
health,0.07877637377244845
packet_loss_pct_rstd,0.07627158774557138
signal_strength_dbm_rstd,0.07622264944737918
call_drop_rate_rstd,0.04268097763635897
signal_strength_dbm,0.035646707352158705
signal_strength_dbm_zscore,0.030047107455965828
signal_strength_dbm_rmean,0.0268012277146224
call_drop_rate_delta,0.025110182726286415
throughput_mbps,0.023391385944342223
interference_ratio_delta,0.02215550076581593
interference_ratio,0.021657082943408436
latency_ms_delta,0.021158020611946365
packet_loss_pct,0.01873317627518155
packet_loss_pct_zscore,0.017242430051817925
latency_ms_zscore,0.01619852030798169
call_drop_rate_zscore,0.01618840588985363
interference_ratio_zscore,0.01611679050045174
